date,ticker,iv_reference,target_day_to_expiration,target_moneyness,n_fitted_expiries
2020-05-07,AAPL,0.21357208090039265,30,1.0,17
2020-05-08,AAPL,0.17180353322387004,30,1.0,16
2020-05-11,AAPL,0.1274666980842239,30,1.0,16
2020-05-12,AAPL,0.12154731493909657,30,1.0,16
2020-05-13,AAPL,0.2685735888431342,30,1.0,16
2020-05-14,AAPL,0.262536559412987,30,1.0,16
2020-05-15,AAPL,0.13822969896911055,30,1.0,15
2020-05-18,AAPL,0.1387343101508108,30,1.0,15
2020-05-19,AAPL,0.13682748379310056,30,1.0,15
2020-05-20,AAPL,0.14681478142465626,30,1.0,16
2020-05-21,AAPL,0.15652365670545026,30,1.0,17
2020-05-22,AAPL,0.28403659354606386,30,1.0,17
2020-05-26,AAPL,0.21657816884290146,30,1.0,17
2020-05-27,AAPL,0.17134420278154652,30,1.0,17
2020-05-28,AAPL,0.1092473846878434,30,1.0,18
2020-05-29,AAPL,0.12031839930924446,30,1.0,17
2020-06-01,AAPL,0.21798761294073074,30,1.0,17
2020-06-02,AAPL,0.25051549262228623,30,1.0,17
2020-06-03,AAPL,0.11152242076354953,30,1.0,17
2020-06-04,AAPL,0.24598790954659977,30,1.0,18
2020-06-05,AAPL,0.18912750627082112,30,1.0,17
2020-06-08,AAPL,0.14145398335150644,30,1.0,18
2020-06-09,AAPL,0.1351074108440913,30,1.0,18
2020-06-10,AAPL,0.11187099904774203,30,1.0,18
2020-06-11,AAPL,0.24189384727182225,30,1.0,19
2020-06-12,AAPL,0.20119944176224072,30,1.0,18
2020-06-15,AAPL,0.15718561317698249,30,1.0,18
2020-06-16,AAPL,0.17586589497513283,30,1.0,18
2020-06-17,AAPL,0.14121019943708898,30,1.0,18
2020-06-19,AAPL,0.16169665304733166,30,1.0,17
2020-06-22,AAPL,0.18344110115297374,30,1.0,17
2020-06-23,AAPL,0.20663035576676492,30,1.0,17
2020-06-24,AAPL,0.26839871575594815,30,1.0,17
2020-06-25,AAPL,0.16375545770317296,30,1.0,18
2020-06-26,AAPL,0.32496633370957745,30,1.0,17
2020-06-29,AAPL,0.3204622443589737,30,1.0,17
2020-06-30,AAPL,0.16242092868082653,30,1.0,17
2020-07-01,AAPL,0.2749223435620094,30,1.0,17
2020-07-02,AAPL,0.17940288833946483,30,1.0,17
2020-07-06,AAPL,0.19098122145295454,30,1.0,17
2020-07-07,AAPL,0.1553163569612325,30,1.0,17
2020-07-08,AAPL,0.28062725713861414,30,1.0,17
2020-07-09,AAPL,0.1815247793822133,30,1.0,18
2020-07-10,AAPL,0.299563840341288,30,1.0,17
2020-07-13,AAPL,0.33913983318102414,30,1.0,17
2020-07-14,AAPL,0.2787776171493266,30,1.0,17
2020-07-15,AAPL,0.18939616019138192,30,1.0,17
2020-07-16,AAPL,0.39568979925817266,30,1.0,17
2020-07-17,AAPL,0.16991011285209842,30,1.0,16
2020-07-20,AAPL,0.2079950685237508,30,1.0,16
2020-07-21,AAPL,0.1885592611485877,30,1.0,16
2020-07-22,AAPL,0.17541445165977754,30,1.0,16
2020-07-23,AAPL,0.20039524537573933,30,1.0,17
2020-07-24,AAPL,0.1952448248051046,30,1.0,16
2020-07-27,AAPL,0.1442705486901898,30,1.0,17
2020-07-28,AAPL,0.15464478782094446,30,1.0,17
2020-07-29,AAPL,0.2916577123148462,30,1.0,17
2020-07-30,AAPL,0.1672063111500408,30,1.0,18
2020-07-31,AAPL,0.22242063139464577,30,1.0,17
2020-08-03,AAPL,0.28921423649726086,30,1.0,17
2020-08-04,AAPL,0.23456300256757762,30,1.0,17
2020-08-05,AAPL,0.2455016668291002,30,1.0,17
2020-08-06,AAPL,0.24682941267749223,30,1.0,18
2020-08-07,AAPL,0.262669805205194,30,1.0,17
2020-08-10,AAPL,0.3233647799534067,30,1.0,17
2020-08-11,AAPL,0.30263580550206787,30,1.0,17
2020-08-12,AAPL,0.24588847986082524,30,1.0,17
2020-08-13,AAPL,0.17752252459856996,30,1.0,18
2020-08-14,AAPL,0.2511253210602728,30,1.0,17
2020-08-17,AAPL,0.176900541367487,30,1.0,17
2020-08-18,AAPL,0.17283887631306374,30,1.0,17
2020-08-19,AAPL,0.1640331345041162,30,1.0,17
2020-08-20,AAPL,0.4135431116478669,30,1.0,18
2020-08-21,AAPL,0.2517726830886915,30,1.0,17
2020-08-24,AAPL,0.38207706336772557,30,1.0,17
2020-08-25,AAPL,0.3646256353066614,30,1.0,17
2020-08-26,AAPL,0.49040328316233206,30,1.0,17
2020-08-27,AAPL,0.45861975638521923,30,1.0,18
2020-08-28,AAPL,0.39227507912596277,30,1.0,17
2020-08-31,AAPL,0.4141598949472321,30,1.0,17
2020-09-01,AAPL,0.5205729226994986,30,1.0,17
2020-09-02,AAPL,0.3695818766368739,30,1.0,17
2020-09-03,AAPL,0.5674425671988,30,1.0,18
2020-09-04,AAPL,0.5484865585515035,30,1.0,17
2020-09-08,AAPL,0.5141364574381266,30,1.0,17
2020-09-09,AAPL,0.4473374769257886,30,1.0,17
2020-09-10,AAPL,0.4766392788060923,30,1.0,18
2020-09-11,AAPL,0.34070269036611844,30,1.0,17
2020-09-14,AAPL,0.3623514551774007,30,1.0,18
2020-09-15,AAPL,0.2206518460728455,30,1.0,18
2020-09-16,AAPL,0.177946681269768,30,1.0,18
2020-09-17,AAPL,0.24806884753987174,30,1.0,18
2020-09-18,AAPL,0.38691859146790536,30,1.0,17
2020-09-21,AAPL,0.4073425930142651,30,1.0,17
2020-09-22,AAPL,0.40824602834794216,30,1.0,17
2020-09-23,AAPL,0.4352050544007536,30,1.0,17
2020-09-24,AAPL,0.46718665504158824,30,1.0,18
2020-09-25,AAPL,0.34728613434892786,30,1.0,17
2020-09-28,AAPL,0.4200705230271215,30,1.0,17
2020-09-30,AAPL,0.2905918000178506,30,1.0,17
2020-10-01,AAPL,0.4338124031419366,30,1.0,18
2020-10-02,AAPL,0.45527960075858587,30,1.0,17
2020-10-05,AAPL,0.43540415987615144,30,1.0,17
2020-10-06,AAPL,0.45896000782488344,30,1.0,17
2020-10-07,AAPL,0.3995905245938782,30,1.0,17
2020-10-08,AAPL,0.43481586813529843,30,1.0,18
2020-10-09,AAPL,0.35175447622658235,30,1.0,17
2020-10-12,AAPL,0.42019359248248755,30,1.0,17
2020-10-13,AAPL,0.35497776980744883,30,1.0,17
2020-10-14,AAPL,0.33627084442158206,30,1.0,17
2020-10-15,AAPL,0.3995049489595845,30,1.0,17
2020-10-16,AAPL,0.3530699170541611,30,1.0,16
2020-10-19,AAPL,0.27776246841789587,30,1.0,16
2020-10-20,AAPL,0.4467421501037673,30,1.0,16
2020-10-21,AAPL,0.43527008470448814,30,1.0,16
2020-10-22,AAPL,0.31551805564555613,30,1.0,17
2020-10-23,AAPL,0.30833989444903787,30,1.0,16
2020-10-26,AAPL,0.41659719464813905,30,1.0,17
2020-10-27,AAPL,0.3777113047858111,30,1.0,17
2020-10-28,AAPL,0.4723173345254747,30,1.0,17
2020-10-29,AAPL,0.40016411021452897,30,1.0,18
2020-10-30,AAPL,0.35494043339150505,30,1.0,17
2020-11-02,AAPL,0.38212994731791117,30,1.0,17
2020-11-03,AAPL,0.24109776078796294,30,1.0,17
2020-11-04,AAPL,0.17670776191001558,30,1.0,17
2020-11-05,AAPL,0.1651778687482515,30,1.0,18
2020-11-06,AAPL,0.2219862718460154,30,1.0,17
2020-11-09,AAPL,0.23975163923324744,30,1.0,17
2020-11-10,AAPL,0.288353989568651,30,1.0,17
2020-11-11,AAPL,0.24274590664340748,30,1.0,17
2020-11-12,AAPL,0.2500743080096786,30,1.0,18
2020-11-13,AAPL,0.182645896205259,30,1.0,17
2020-11-16,AAPL,0.18685025081888154,30,1.0,17
2020-11-17,AAPL,0.1597894111273376,30,1.0,17
2020-11-18,AAPL,0.1712736256791857,30,1.0,17
2020-11-19,AAPL,0.18794375534931884,30,1.0,18
2020-11-20,AAPL,0.19625706571239632,30,1.0,17
2020-11-23,AAPL,0.26601107512954936,30,1.0,17
2020-11-24,AAPL,0.24962185534914816,30,1.0,17
2020-11-25,AAPL,0.2626276017702109,30,1.0,18
2020-11-30,AAPL,0.2885209842261836,30,1.0,17
2020-12-01,AAPL,0.32563438706273756,30,1.0,17
2020-12-02,AAPL,0.289649574331976,30,1.0,17
2020-12-03,AAPL,0.3188019735842239,30,1.0,18
2020-12-04,AAPL,0.27483258406947264,30,1.0,17
2020-12-07,AAPL,0.2722380214846655,30,1.0,17
2020-12-08,AAPL,0.24870388485079134,30,1.0,17
2020-12-09,AAPL,0.2744149412133299,30,1.0,17
2020-12-10,AAPL,0.22553288591777587,30,1.0,18
2020-12-11,AAPL,0.2594089416061963,30,1.0,17
2020-12-14,AAPL,0.22389739241983939,30,1.0,17
2020-12-15,AAPL,0.196528570187783,30,1.0,17
2020-12-16,AAPL,0.16500239815317094,30,1.0,17
2020-12-17,AAPL,0.201761962063145,30,1.0,17
2020-12-18,AAPL,0.22926906669320654,30,1.0,16
2020-12-21,AAPL,0.2874462942796927,30,1.0,16
2020-12-22,AAPL,0.2892372546744841,30,1.0,16
2020-12-23,AAPL,0.26226596028892935,30,1.0,17
2020-12-28,AAPL,0.3153284071644605,30,1.0,17
2020-12-29,AAPL,0.329719990478898,30,1.0,17
2020-12-30,AAPL,0.16371851024521544,30,1.0,17
2020-12-31,AAPL,0.21125021849658226,30,1.0,17
2021-01-04,AAPL,0.3577760696583914,30,1.0,17
2021-01-05,AAPL,0.2889241582744555,30,1.0,17
2021-01-06,AAPL,0.33249725989491163,30,1.0,17
2021-01-07,AAPL,0.28808620328103235,30,1.0,18
2021-01-08,AAPL,0.23358329134666198,30,1.0,17
2021-01-11,AAPL,0.3002673485136876,30,1.0,17
2021-01-12,AAPL,0.27534524303425556,30,1.0,17
2021-01-13,AAPL,0.29065206595164783,30,1.0,17
2021-01-14,AAPL,0.2635725441955452,30,1.0,17
2021-01-15,AAPL,0.355509368941675,30,1.0,16
2021-01-19,AAPL,0.3661423661989974,30,1.0,16
